gene p_val avg_logFC p_val_adj cluster
Plac8 0 2,52300046 0 0
Hp 0 2,06883801 0 0
Ly6c2 0 1,73516456 0 0
Ms4a4c 0 1,69234936 0 0
Sirpb1c 0 1,67430965 0 0
Cd52 1,99E-294 1,43076069 2,47E-290 0
Pdlim4 7,30E-07 0,25188479 0,00908332 2
Slc48a1 1,68E-06 0,27391237 0,02096771 2
Tcn2 2,10E-06 0,25293034 0,02612902 2
Sbds 2,89E-06 0,25965185 0,03595343 2
Mndal 6,16E-06 0,25404334 0,07662348 2
Pf4 8,53E-76 0,67090436 1,06E-71 3
Mrc1 2,25E-42 0,58378536 2,80E-38 3
Mt1 1,20E-38 0,71939477 1,50E-34 3
Mt2 4,89E-36 0,82576481 6,09E-32 3
Igfbp4 4,15E-31 0,43899834 5,16E-27 3
Malat1 2,01E-29 0,29950227 2,51E-25 3
Cd81 4,98E-28 0,41540026 6,20E-24 3
Mgl2 7,12E-28 0,51581715 8,86E-24 3
Ighm 3,19E-27 0,47715545 3,97E-23 3
Dab2 8,28E-27 0,3704558 1,03E-22 3
Fxyd2 1,84E-25 0,44974891 2,29E-21 3
Cd36 4,09E-25 0,45267322 5,08E-21 3
Jund 3,03E-23 0,64887153 3,77E-19 3
Egr1 5,58E-23 0,67041285 6,94E-19 3
Selenop 6,89E-23 0,25117013 8,58E-19 3
Gas7 2,80E-22 0,40475234 3,48E-18 3
Lifr 1,64E-21 0,3237115 2,04E-17 3
Slamf9 1,94E-21 0,52086621 2,41E-17 3
H2-Eb1 2,50E-21 0,47632629 3,11E-17 3
Serinc3 3,68E-21 0,30848391 4,58E-17 3
Aqp1 8,59E-21 0,47529553 1,07E-16 3
Cd93 1,11E-19 0,34940513 1,38E-15 3
Mafb 2,22E-18 0,33339194 2,77E-14 3
Rtn4 4,82E-18 0,39726303 6,00E-14 3
H2-Aa 8,40E-18 0,45665025 1,05E-13 3
Klf6 2,57E-17 0,43025407 3,20E-13 3
Tmem176b 1,02E-16 0,3177546 1,27E-12 3
Mtss1 1,60E-15 0,32624392 1,99E-11 3
H2-Ab1 1,62E-15 0,32041518 2,01E-11 3
Lyz1 3,31E-15 0,64554818 4,12E-11 3
Clec10a 6,12E-15 0,4472997 7,62E-11 3
Txnip 6,49E-15 0,3496089 8,08E-11 3
Igf1 1,01E-14 0,33271721 1,26E-10 3
Cd163 1,36E-14 0,29185845 1,69E-10 3
Zfp36l1 1,77E-14 0,35238238 2,20E-10 3
Clec12a 2,10E-14 0,39025975 2,61E-10 3
Ehd4 2,81E-14 0,30709547 3,50E-10 3
Cd74 7,09E-14 0,44778952 8,83E-10 3
Atp2b1 1,04E-13 0,26630136 1,29E-09 3
Ccl24 1,04E-13 0,29064496 1,30E-09 3
Ap2a2 1,72E-13 0,38576601 2,14E-09 3
Mef2c 2,10E-13 0,28101352 2,61E-09 3
Maf 2,87E-13 0,31687276 3,58E-09 3
Rnd3 5,26E-13 0,26860528 6,54E-09 3
Wwp1 8,84E-13 0,31338148 1,10E-08 3
Rbpj 1,91E-12 0,30107087 2,37E-08 3
Lpl 2,08E-12 0,37225452 2,58E-08 3
Snx5 3,87E-12 0,29159505 4,82E-08 3
Cltc 4,10E-12 0,33875801 5,10E-08 3
Dok2 1,18E-11 0,26974964 1,47E-07 3
Tmem176a 1,59E-11 0,36272444 1,98E-07 3
Ms4a7 5,91E-11 0,29326819 7,36E-07 3
Tubb2a 1,04E-10 0,28490398 1,29E-06 3
Fosb 1,18E-10 0,40876969 1,47E-06 3
Gm42418 5,25E-10 0,75819329 6,54E-06 3
Atf3 7,09E-10 0,30866389 8,82E-06 3
Cd33 1,36E-09 0,27533175 1,70E-05 3
Irf2bp2 1,70E-09 0,31780115 2,12E-05 3
Dse 1,78E-09 0,2575986 2,22E-05 3
mt-Co1 2,19E-09 0,26073773 2,73E-05 3
Sdc3 2,65E-09 0,28875574 3,30E-05 3
Metrnl 3,71E-09 0,25302395 4,62E-05 3
Frmd4b 4,74E-09 0,25742238 5,90E-05 3
Alox5 6,24E-09 0,26004691 7,77E-05 3
Klf4 7,95E-09 0,35145004 9,89E-05 3
Hspa1a 1,57E-08 0,39585882 0,0001956 3
Wnk1 2,49E-08 0,27749426 0,00030992 3
Retnla 2,75E-08 0,40618024 0,00034191 3
Ptms 2,94E-08 0,25432222 0,00036533 3
Ppp3ca 4,37E-08 0,25144234 0,00054443 3
Ier2 1,26E-07 0,31705993 0,00156284 3
Rab7b 2,45E-07 0,25374715 0,00304716 3
Nfkbiz 4,69E-07 0,26033073 0,00583122 3
Jun 1,07E-06 0,33881778 0,01337654 3
Klf2 1,49E-06 0,32733135 0,01848404 3
Marcksl1 0,0010884 0,2559517 1 3
Cstb 1,89E-156 1,26347546 2,35E-152 4
Txn1 5,67E-119 1,03786011 7,06E-115 4
Bdh2 1,97E-109 0,6769606 2,46E-105 4
Spp1 6,39E-108 2,85652178 7,95E-104 4
Cav1 3,08E-104 0,97176661 3,83E-100 4
Sdc1 4,34E-101 0,68179294 5,41E-97 4
Cd44 3,69E-96 0,93202028 4,59E-92 4
Kcnn4 1,51E-95 0,85858847 1,88E-91 4
Mmp14 1,10E-92 0,8989359 1,38E-88 4
Mif 1,69E-86 1,02334335 2,10E-82 4
Aprt 3,43E-84 0,78063742 4,27E-80 4
Rpl41 5,45E-82 0,51124133 6,78E-78 4
S100a10 5,68E-81 0,67578566 7,08E-77 4
Pdpn 1,22E-75 1,23854625 1,52E-71 4
S100a4 5,44E-73 0,5422492 6,77E-69 4
Anxa1 1,55E-68 0,743627 1,93E-64 4
Lgals3 5,71E-68 1,06565479 7,10E-64 4
Lmna 1,46E-66 0,73586424 1,81E-62 4
Arg1 1,08E-62 1,07753526 1,34E-58 4
Vim 2,20E-58 0,605245 2,74E-54 4
Slc37a2 5,50E-58 0,6605774 6,85E-54 4
Nme1 3,07E-57 0,61116175 3,83E-53 4
Malt1 3,10E-57 0,65909809 3,85E-53 4
Usmg5 3,66E-57 0,60730133 4,55E-53 4
Rpl38 4,53E-56 0,51348015 5,64E-52 4
Bola2 1,99E-52 0,72081666 2,48E-48 4
Rps26 8,89E-52 0,53071103 1,11E-47 4
Rai14 5,99E-51 0,42711508 7,46E-47 4
Rps8 6,64E-49 0,45099848 8,26E-45 4
Clec4d 7,91E-49 0,80926282 9,85E-45 4
Rpl37a 1,04E-48 0,42162109 1,29E-44 4
Ptma 1,54E-48 0,47009777 1,92E-44 4
Anxa2 7,40E-48 0,5875005 9,22E-44 4
Fn1 9,64E-48 0,85194935 1,20E-43 4
Lgals1 1,78E-46 0,48534853 2,21E-42 4
Ran 6,98E-46 0,63590846 8,69E-42 4
Tuba1c 3,29E-45 0,61021347 4,09E-41 4
Adam8 5,33E-45 0,56691002 6,64E-41 4
Rgcc 2,35E-44 0,97860621 2,93E-40 4
S100a11 2,97E-44 0,52325783 3,70E-40 4
Pgk1 3,32E-44 0,6405548 4,13E-40 4
Sema4d 5,90E-44 0,38553569 7,34E-40 4
Rps27a 2,01E-43 0,38499907 2,50E-39 4
Nrp2 1,29E-42 0,71292157 1,61E-38 4
Gapdh 3,63E-42 0,46617477 4,52E-38 4
Tpt1 5,98E-40 0,31431206 7,44E-36 4
Sdc4 2,21E-39 0,5506116 2,75E-35 4
Cycs 7,68E-39 0,57638018 9,56E-35 4
Atp5l 1,51E-38 0,35946538 1,88E-34 4
Rplp2 1,60E-38 0,34684232 1,99E-34 4
Nsd2 3,20E-38 0,40827734 3,99E-34 4
Rbm3 4,21E-37 0,39936951 5,24E-33 4
Rps27l 5,76E-37 0,50520444 7,17E-33 4
Sms 6,83E-37 0,460439 8,50E-33 4
Hilpda 7,72E-37 0,69900182 9,61E-33 4
Cox5a 4,30E-36 0,49686522 5,36E-32 4
Nfatc1 9,24E-36 0,50463728 1,15E-31 4
Eif4a1 1,44E-35 0,46342737 1,79E-31 4
2010107E04Rik 1,62E-35 0,41679735 2,01E-31 4
Il1rn 1,95E-35 0,85861745 2,43E-31 4
Timp1 2,84E-35 0,60919302 3,54E-31 4
Anxa5 8,40E-35 0,47352483 1,05E-30 4
Fabp5 3,59E-34 0,7787408 4,46E-30 4
Hsp90aa1 1,38E-33 0,54644636 1,72E-29 4
Gm10076 2,10E-33 0,44323353 2,62E-29 4
Rps3a1 2,65E-33 0,30955345 3,30E-29 4
Clec4e 5,15E-33 0,70731966 6,42E-29 4
Calm1 1,96E-32 0,29326642 2,44E-28 4
Atp5k 5,86E-32 0,4520259 7,30E-28 4
Rpl35 1,25E-31 0,36735319 1,55E-27 4
Bhlhe40 1,60E-31 0,52912118 1,99E-27 4
Atp5e 4,03E-31 0,38224839 5,02E-27 4
Ppa1 6,09E-31 0,38003383 7,57E-27 4
Atp6v0e 9,33E-31 0,46355678 1,16E-26 4
Ybx3 1,01E-30 0,39826506 1,26E-26 4
Uqcrb 3,17E-30 0,36652031 3,95E-26 4
Acot7 1,34E-29 0,38531681 1,67E-25 4
Odc1 2,73E-29 0,45697121 3,40E-25 4
Rnf149 3,06E-29 0,55395906 3,81E-25 4
Rps2 3,17E-29 0,41038899 3,95E-25 4
Mrpl52 3,28E-29 0,43008546 4,08E-25 4
Nhp2 5,32E-29 0,58707556 6,63E-25 4
Timm13 1,48E-28 0,46815257 1,84E-24 4
Rbx1 3,01E-28 0,37653046 3,74E-24 4
Pgam1 4,16E-28 0,53525493 5,18E-24 4
Timm8a1 7,35E-28 0,3384572 9,15E-24 4
Eef1g 1,21E-27 0,54731723 1,51E-23 4
Rpl22 3,11E-27 0,36061389 3,86E-23 4
Bax 3,78E-27 0,42508543 4,71E-23 4
Tcirg1 3,79E-27 0,43682827 4,72E-23 4
Snrpe 4,39E-27 0,46042888 5,46E-23 4
S100a6 2,07E-26 0,35517929 2,58E-22 4
Atp5g1 2,30E-26 0,49487054 2,87E-22 4
Cxcl2 2,85E-26 1,18263495 3,55E-22 4
Plin2 3,18E-26 0,66232385 3,96E-22 4
Rpl39 3,28E-26 0,28669084 4,09E-22 4
Tsc22d1 3,85E-26 0,79212363 4,79E-22 4
Glrx 4,20E-26 0,48800461 5,23E-22 4
Psmb5 9,84E-26 0,40129642 1,23E-21 4
Ldha 1,20E-25 0,42913079 1,50E-21 4
Traf1 1,69E-25 0,43776543 2,10E-21 4
Tpm1 1,93E-25 0,31344196 2,40E-21 4
Efhd2 3,43E-25 0,43019564 4,26E-21 4
Nfkbia 3,61E-25 0,48141395 4,49E-21 4
Eef1e1 3,86E-25 0,35456876 4,80E-21 4
Acp5 3,88E-25 1,29594212 4,82E-21 4
Npm1 4,24E-25 0,58341271 5,28E-21 4
Zfp593 4,99E-25 0,28594425 6,21E-21 4
Rps19 5,28E-25 0,32312216 6,57E-21 4
mt-Cytb 1,48E-24 0,30939734 1,84E-20 4
Gna13 1,58E-24 0,42902552 1,97E-20 4
Atox1 1,69E-24 0,29475164 2,10E-20 4
Rala 2,54E-24 0,48906521 3,17E-20 4
Snhg6 3,35E-24 0,33918502 4,17E-20 4
Ranbp1 4,60E-24 0,5571139 5,73E-20 4
Cox6b1 5,51E-24 0,26839836 6,85E-20 4
Tpi1 1,10E-23 0,49618785 1,37E-19 4
Btg1 1,25E-23 0,55235731 1,56E-19 4
Ncl 1,49E-23 0,62171309 1,85E-19 4
Atpif1 1,55E-23 0,4380554 1,93E-19 4
Rps3 1,57E-23 0,27556729 1,96E-19 4
B4galt1 3,33E-23 0,42904517 4,15E-19 4
Cox17 3,36E-23 0,47201345 4,18E-19 4
Rps10 7,82E-23 0,30920706 9,74E-19 4
mt-Nd1 1,16E-22 0,26585325 1,44E-18 4
Rpl23 1,37E-22 0,27238178 1,70E-18 4
Ak2 1,39E-22 0,420817 1,73E-18 4
M6pr 2,93E-22 0,42645287 3,65E-18 4
Rnf19b 4,80E-22 0,35148953 5,97E-18 4
Pkm 5,69E-22 0,33177242 7,09E-18 4
Rps17 6,39E-22 0,31597534 7,96E-18 4
Mrps28 9,14E-22 0,37644593 1,14E-17 4
Itgav 9,47E-22 0,40901659 1,18E-17 4
Ctsk 1,30E-21 1,40568234 1,62E-17 4
Mrpl12 1,48E-21 0,39960754 1,85E-17 4
Usp50 1,80E-21 0,37938669 2,25E-17 4
Rpl36al 3,69E-21 0,30744856 4,59E-17 4
Osbpl8 4,32E-21 0,34303932 5,38E-17 4
Chchd2 4,39E-21 0,26265426 5,47E-17 4
Sec61b 7,00E-21 0,27686898 8,71E-17 4
Mdm2 7,02E-21 0,37081398 8,73E-17 4
Atp6v1b2 7,49E-21 0,43968888 9,32E-17 4
Pno1 8,73E-21 0,32231555 1,09E-16 4
Ckap4 1,62E-20 0,33454041 2,02E-16 4
Nop58 1,84E-20 0,3605132 2,30E-16 4
Mmp19 2,08E-20 0,55606433 2,59E-16 4
Lasp1 3,09E-20 0,3682496 3,85E-16 4
Mcl1 3,97E-20 0,47208146 4,94E-16 4
Pfn1 5,19E-20 0,27515903 6,46E-16 4
Psmb6 5,26E-20 0,32938405 6,54E-16 4
Eif3j1 6,12E-20 0,39780672 7,62E-16 4
Atp5g3 8,91E-20 0,44408317 1,11E-15 4
Eif2s2 1,83E-19 0,37232177 2,27E-15 4
Rpl36a 1,84E-19 0,40853255 2,29E-15 4
Atp6v1e1 2,12E-19 0,37219002 2,63E-15 4
Hspd1 2,16E-19 0,4833923 2,69E-15 4
Cox7c 2,58E-19 0,28461915 3,21E-15 4
Nsun2 2,61E-19 0,31651465 3,25E-15 4
Eif6 3,06E-19 0,42256179 3,81E-15 4
Hnrnpab 3,66E-19 0,42103384 4,56E-15 4
Rps15a 5,77E-19 0,26726281 7,18E-15 4
Agpat4 9,00E-19 0,36174152 1,12E-14 4
Cox7b 1,01E-18 0,34050328 1,26E-14 4
Ifrd1 1,19E-18 0,5047121 1,48E-14 4
Hspe1 1,27E-18 0,52552396 1,59E-14 4
Uqcrq 1,61E-18 0,30021024 2,01E-14 4
Apobec1 1,82E-18 0,41751217 2,27E-14 4
Cct3 2,91E-18 0,42240993 3,62E-14 4
Adssl1 3,52E-18 0,36722934 4,38E-14 4
Set 5,52E-18 0,47867188 6,87E-14 4
Agpat5 5,72E-18 0,28265966 7,12E-14 4
Snrpf 8,76E-18 0,35812217 1,09E-13 4
Snrpd1 1,64E-17 0,35823946 2,04E-13 4
Psma3 1,64E-17 0,31065111 2,04E-13 4
Naa50 1,68E-17 0,38000243 2,10E-13 4
Fam162a 1,84E-17 0,33028102 2,29E-13 4
Sod2 1,99E-17 0,39885215 2,47E-13 4
Ehd1 2,25E-17 0,35391012 2,80E-13 4
Cox7a2 2,28E-17 0,2959665 2,83E-13 4
Gnl3 2,50E-17 0,34328785 3,11E-13 4
Chchd4 2,57E-17 0,27480074 3,20E-13 4
Llph 2,72E-17 0,34125161 3,38E-13 4
Avpi1 3,61E-17 0,42555363 4,49E-13 4
Uqcr11 4,20E-17 0,33929417 5,22E-13 4
Txnrd1 4,69E-17 0,29406874 5,84E-13 4
Emc6 4,80E-17 0,34617554 5,97E-13 4
Nus1 5,08E-17 0,30727488 6,33E-13 4
Atp6v1g1 6,47E-17 0,3875007 8,06E-13 4
Azin1 9,20E-17 0,30681003 1,15E-12 4
Timm10 1,12E-16 0,25832016 1,39E-12 4
Timm17a 1,12E-16 0,34886742 1,39E-12 4
Nolc1 1,27E-16 0,25434171 1,58E-12 4
Furin 1,60E-16 0,39618239 2,00E-12 4
BC005537 2,03E-16 0,38612164 2,53E-12 4
Tomm20 2,16E-16 0,35337959 2,69E-12 4
Erh 2,72E-16 0,3224506 3,39E-12 4
Rps18 3,68E-16 0,29089254 4,58E-12 4
Hif1a 3,87E-16 0,39072566 4,81E-12 4
Mdh2 3,97E-16 0,39023961 4,94E-12 4
Nip7 5,10E-16 0,25870092 6,34E-12 4
Ndufb6 5,22E-16 0,34631698 6,50E-12 4
Eif5a 1,17E-15 0,33477435 1,46E-11 4
Cav2 1,25E-15 0,31722963 1,56E-11 4
Mrto4 3,98E-15 0,25639238 4,96E-11 4
Rpl27 4,52E-15 0,25704638 5,62E-11 4
Snrpd3 4,82E-15 0,32067009 6,00E-11 4
Nudcd2 5,16E-15 0,25564223 6,42E-11 4
Snrpd2 6,51E-15 0,3184982 8,11E-11 4
Psmd14 7,32E-15 0,34107519 9,11E-11 4
Cops9 7,73E-15 0,33018765 9,62E-11 4
U2af1 8,01E-15 0,32649365 9,97E-11 4
Rpl12 8,05E-15 0,32272465 1,00E-10 4
Srsf7 1,03E-14 0,35022486 1,28E-10 4
Tomm5 1,03E-14 0,34183616 1,29E-10 4
Aldoa 1,04E-14 0,36636569 1,29E-10 4
C1qbp 1,09E-14 0,34184862 1,35E-10 4
Rps21 1,09E-14 0,30181347 1,36E-10 4
Polr2k 1,14E-14 0,32185153 1,42E-10 4
Gcsh 1,25E-14 0,28550731 1,55E-10 4
Clec4n 1,29E-14 0,61673768 1,61E-10 4
Plxnd1 1,41E-14 0,33157224 1,75E-10 4
Cct8 1,85E-14 0,36217419 2,30E-10 4
Jarid2 2,03E-14 0,28033529 2,53E-10 4
Pfdn4 2,09E-14 0,32829056 2,61E-10 4
Serbp1 2,17E-14 0,33530957 2,70E-10 4
Eno1 2,35E-14 0,32868705 2,93E-10 4
Apex1 2,59E-14 0,25870642 3,22E-10 4
Fam129b 2,84E-14 0,31024571 3,54E-10 4
Ube2a 3,65E-14 0,31313373 4,54E-10 4
Eif1ax 3,75E-14 0,32128849 4,66E-10 4
Cited2 4,38E-14 0,32750005 5,45E-10 4
Mrpl54 4,67E-14 0,31223945 5,81E-10 4
Higd1a 5,66E-14 0,37055864 7,05E-10 4
Ak6 6,15E-14 0,25128899 7,66E-10 4
Ufm1 7,20E-14 0,31493799 8,96E-10 4
Ywhag 7,61E-14 0,31134094 9,47E-10 4
Taf1d 9,21E-14 0,2568899 1,15E-09 4
Atp6v1c1 9,48E-14 0,36054353 1,18E-09 4
Rps12 9,86E-14 0,28142955 1,23E-09 4
Rack1 1,04E-13 0,28147582 1,29E-09 4
Gngt2 1,21E-13 0,26353735 1,51E-09 4
Anp32b 1,22E-13 0,32798191 1,51E-09 4
Fbl 1,41E-13 0,35634494 1,76E-09 4
Eif2s1 1,49E-13 0,30796667 1,86E-09 4
Itga5 2,19E-13 0,27407437 2,72E-09 4
Dnajc2 3,04E-13 0,26777374 3,79E-09 4
Actr2 3,71E-13 0,31172199 4,62E-09 4
Ndufc1 4,43E-13 0,34418716 5,51E-09 4
Esd 4,49E-13 0,33181702 5,58E-09 4
Nop56 5,23E-13 0,25392191 6,52E-09 4
Tubb4b 5,55E-13 0,27349936 6,91E-09 4
Rpl5 6,36E-13 0,2647515 7,92E-09 4
Ndufab1 6,47E-13 0,33517127 8,05E-09 4
Tubb6 1,00E-12 0,32843553 1,25E-08 4
Ube2l3 1,16E-12 0,26973073 1,45E-08 4
Ctsl 1,56E-12 0,74311785 1,95E-08 4
Psmb7 1,76E-12 0,31845426 2,20E-08 4
Ndufc2 1,79E-12 0,3087451 2,23E-08 4
Mrps14 1,84E-12 0,27975167 2,28E-08 4
Tomm40 3,42E-12 0,25205336 4,26E-08 4
Hsp90ab1 3,74E-12 0,27884315 4,66E-08 4
Hnrnpa1 4,15E-12 0,32690512 5,16E-08 4
Dtymk 4,81E-12 0,2805494 5,99E-08 4
Cct2 4,82E-12 0,28565798 6,00E-08 4
Ptbp3 5,62E-12 0,30080533 6,99E-08 4
Rplp1 8,58E-12 0,2510894 1,07E-07 4
Lpl 9,12E-12 0,55866302 1,14E-07 4
Atp5o 9,35E-12 0,29905812 1,16E-07 4
Map4k4 1,04E-11 0,28936172 1,30E-07 4
Ebna1bp2 1,27E-11 0,28592024 1,58E-07 4
Eif4g2 1,36E-11 0,26712643 1,70E-07 4
Hdgf 1,51E-11 0,25442094 1,88E-07 4
Ybx1 1,75E-11 0,29737463 2,18E-07 4
Npm3 1,88E-11 0,28360692 2,35E-07 4
Mrpl20 2,03E-11 0,29780009 2,53E-07 4
Tnfaip3 2,09E-11 0,46697004 2,60E-07 4
G3bp1 3,40E-11 0,29537589 4,23E-07 4
Impdh2 3,91E-11 0,32637112 4,86E-07 4
Hspa9 4,23E-11 0,28070567 5,26E-07 4
Snu13 5,64E-11 0,31993757 7,02E-07 4
Pik3r5 5,73E-11 0,25887413 7,13E-07 4
Pa2g4 5,84E-11 0,36080565 7,26E-07 4
Uqcr10 7,41E-11 0,3001181 9,22E-07 4
Romo1 1,48E-10 0,27043795 1,84E-06 4
Psma6 1,50E-10 0,31456927 1,87E-06 4
Banf1 1,88E-10 0,26577061 2,35E-06 4
Tctex1d2 2,12E-10 0,29204547 2,64E-06 4
Magoh 2,75E-10 0,2536404 3,42E-06 4
Slirp 3,70E-10 0,2977527 4,60E-06 4
Ywhaz 4,54E-10 0,28619539 5,66E-06 4
Lfng 6,49E-10 0,26314528 8,08E-06 4
Ppp2ca 6,93E-10 0,27297105 8,62E-06 4
Pcbp1 7,62E-10 0,26713503 9,49E-06 4
Polr2l 8,69E-10 0,29300083 1,08E-05 4
Hnrnpa0 9,36E-10 0,25757135 1,16E-05 4
mt-Nd3 1,00E-09 0,30197647 1,24E-05 4
1810022K09Rik 1,02E-09 0,27905562 1,27E-05 4
Srsf3 2,05E-09 0,2583567 2,56E-05 4
Fcf1 2,20E-09 0,25664767 2,74E-05 4
Sfpq 2,79E-09 0,26387049 3,47E-05 4
Ddt 2,86E-09 0,39589544 3,56E-05 4
Id2 3,60E-09 0,47917515 4,49E-05 4
Prmt1 4,56E-09 0,25592048 5,68E-05 4
Lsm7 5,02E-09 0,28364623 6,25E-05 4
Sod1 7,37E-09 0,29187466 9,18E-05 4
Atp6v1a 7,74E-09 0,30431539 9,64E-05 4
Mrpl23 9,24E-09 0,2605118 0,00011497 4
Ndufs6 2,98E-08 0,26273084 0,0003703 4
Rpl22l1 3,56E-08 0,2769638 0,00044279 4
Nceh1 4,36E-08 0,27517429 0,00054241 4
Tnfaip2 4,39E-08 0,31706885 0,00054584 4
Tcp1 1,66E-07 0,25631537 0,00206054 4
Nop10 2,61E-07 0,27889355 0,00325065 4
Gpr137b 3,08E-07 0,26678935 0,00383248 4
Arf6 3,31E-07 0,25593554 0,00411851 4
mt-Atp8 3,45E-07 0,25294059 0,00429862 4
Slc43a2 5,58E-07 0,25800196 0,00694463 4
Phb2 1,47E-06 0,25305833 0,01835255 4
Cxcl16 1,95E-06 0,26593486 0,02426549 4
Gm42418 3,37E-06 0,27139357 0,04197913 4
Ezr 1,11E-05 0,28854069 0,13790488 4
Sqstm1 8,40E-05 0,26497132 1 4
Sgk1 0,00074782 0,26738793 1 4
Atp6v1d 0,00092824 0,2767944 1 4
Ms4a7 0,00170499 0,4653073 1 4
Klrd1 4,20E-272 1,47393539 5,23E-268 5
H2-DMb2 3,33E-211 1,18916625 4,15E-207 5
Cd209a 1,86E-193 2,13943107 2,31E-189 5
Klrk1 2,61E-184 0,74059925 3,24E-180 5
Klrb1b 1,33E-182 0,87607303 1,66E-178 5
Gpr171 1,03E-168 0,95097072 1,28E-164 5
H2-Eb1 1,61E-160 2,37215961 2,00E-156 5
Jaml 5,51E-151 0,70409082 6,86E-147 5
H2-Aa 1,91E-146 2,31145539 2,38E-142 5
Itgax 5,89E-143 0,74813853 7,33E-139 5
H2-DMb1 1,81E-139 1,66810813 2,25E-135 5
H2-Ab1 6,76E-134 2,41457207 8,41E-130 5
Cd74 2,45E-131 2,31154351 3,05E-127 5
H2-DMa 5,27E-127 1,57320584 6,56E-123 5
Plscr1 1,30E-112 0,7782818 1,62E-108 5
Klra17 7,58E-110 0,64829184 9,43E-106 5
Flt3 7,45E-102 0,52776962 9,27E-98 5
Olfm1 6,92E-90 0,75815576 8,61E-86 5
Il1r2 1,74E-87 1,37855621 2,17E-83 5
Spint1 1,37E-81 0,58412276 1,71E-77 5
Syngr2 2,32E-80 1,30566591 2,89E-76 5
Napsa 8,41E-80 1,05476894 1,05E-75 5
Clec4b1 3,30E-78 0,90976658 4,10E-74 5
Slamf7 1,24E-75 0,65913769 1,54E-71 5
Plbd1 1,88E-75 1,03209222 2,34E-71 5
Rnase6 8,04E-74 0,63875158 1,00E-69 5
Lsp1 2,39E-71 1,00479994 2,97E-67 5
Mgl2 1,12E-64 1,49767467 1,40E-60 5
Itgb7 1,57E-59 0,76285815 1,96E-55 5
Cd52 3,74E-58 0,83340698 4,66E-54 5
Selplg 5,73E-56 0,88014099 7,14E-52 5
H2afz 1,80E-55 0,85879872 2,25E-51 5
Gm2a 7,85E-55 0,86517379 9,77E-51 5
Sub1 9,39E-53 0,66609124 1,17E-48 5
Tmem176a 3,95E-51 0,95133166 4,91E-47 5
Tspan13 3,92E-50 0,84477254 4,88E-46 5
Cd24a 2,30E-49 0,67329994 2,86E-45 5
1700025G04Rik 3,32E-49 0,47444136 4,13E-45 5
Tnip3 9,57E-49 0,74923083 1,19E-44 5
Bcl2a1d 1,98E-48 0,74096504 2,47E-44 5
Ifitm1 4,85E-46 2,31574594 6,04E-42 5
Ctsh 1,11E-45 0,71494952 1,38E-41 5
Clec10a 4,55E-43 0,80559792 5,67E-39 5
Traf1 3,53E-42 0,78470858 4,39E-38 5
AA467197 1,54E-41 1,16637911 1,92E-37 5
S100a11 2,71E-40 0,607607 3,38E-36 5
Rin3 4,19E-40 0,39660539 5,21E-36 5
Cd72 2,27E-38 0,86236124 2,83E-34 5
Psmb8 1,07E-36 0,59280156 1,33E-32 5
Atox1 9,14E-36 0,5521211 1,14E-31 5
Cbfa2t3 2,11E-35 0,46634789 2,62E-31 5
Cd209d 2,78E-35 0,8680263 3,46E-31 5
Grk3 4,62E-33 0,45526068 5,75E-29 5
Bri3bp 5,23E-33 0,40845801 6,51E-29 5
Cfp 7,87E-33 0,66395821 9,79E-29 5
Cytip 1,20E-32 0,51138942 1,50E-28 5
Ramp1 1,32E-32 0,51383076 1,65E-28 5
Casp6 2,18E-32 0,58178672 2,71E-28 5
Fgl2 2,30E-31 0,39860022 2,86E-27 5
Rps11 2,69E-31 0,36585284 3,35E-27 5
Batf3 3,51E-31 0,38153346 4,36E-27 5
Rpl14 5,48E-31 0,36185575 6,82E-27 5
Rpsa 1,52E-30 0,40950255 1,89E-26 5
Lsr 1,75E-30 0,48265795 2,18E-26 5
Eva1b 3,14E-30 0,39474762 3,90E-26 5
Naga 4,17E-30 0,54103267 5,19E-26 5
Fam129a 6,73E-30 0,42004464 8,38E-26 5
Rps7 1,80E-29 0,36493001 2,24E-25 5
4930523C07Rik 3,90E-29 0,53909706 4,85E-25 5
Rpl13 5,21E-29 0,35289005 6,49E-25 5
Mpc1 1,47E-28 0,57644309 1,83E-24 5
Cnn2 1,53E-28 0,66799432 1,90E-24 5
Rps6 3,21E-28 0,37846677 4,00E-24 5
Rps4x 5,52E-28 0,31909441 6,87E-24 5
Ckb 6,70E-28 0,68810069 8,34E-24 5
Naaa 2,30E-27 0,75762189 2,86E-23 5
Limd2 3,30E-27 0,61004853 4,11E-23 5
Il2rg 2,53E-26 0,47443342 3,15E-22 5
Vrk1 4,01E-26 0,50537506 4,99E-22 5
Ltb4r1 4,57E-26 0,48640265 5,69E-22 5
Zyx 7,55E-26 0,54377677 9,39E-22 5
Rplp0 2,16E-25 0,34202546 2,69E-21 5
Tmsb10 4,44E-25 0,37383466 5,53E-21 5
Fh1 7,46E-25 0,48029285 9,29E-21 5
Glipr2 1,07E-24 0,40458268 1,33E-20 5
Ccnd1 4,67E-24 0,44286855 5,82E-20 5
Coro1a 5,05E-24 0,42223818 6,29E-20 5
Rps19 5,34E-24 0,29882603 6,64E-20 5
Rps18 1,15E-23 0,31087962 1,43E-19 5
Tmem176b 3,93E-23 0,51561025 4,89E-19 5
Jak2 3,40E-22 0,28388761 4,23E-18 5
